username,event_date,country,user_day_total_length,user_day_count,treatment,post
BrunoReboul,2023-03-29,france,0,1,0,0
BryanColle,2023-03-31,france,1223,1,0,0
Bschalck,2023-03-29,france,492,1,0,0
Bubka,2023-04-01,france,0,1,0,1
Bubobubobubobubo,2023-03-18,france,144,1,0,0
Bubobubobubobubo,2023-03-22,france,91,1,0,0
Bubobubobubobubo,2023-03-27,france,113,2,0,0
BugBoys100,2023-04-02,france,197,1,0,1
BulotF,2023-03-31,france,1166,2,0,0
Bungeefan,2023-03-24,austria,167,1,0,0
Bungeefan,2023-04-03,austria,342,1,0,1
Bushuo,2023-03-21,austria,77,1,0,0
Bushuo,2023-04-03,austria,271,1,0,1
Bushuo,2023-04-04,austria,159,1,0,1
Bushuo,2023-04-05,austria,341,1,0,1
Butanium,2023-04-07,france,318,1,0,1
Buzzardsoul,2023-03-19,france,875,1,0,0
BzSpi,2023-04-07,france,237,3,0,1
C-Duv,2023-04-04,france,588,1,0,1
C0ZEN,2023-03-23,france,363,1,0,0
C0ZEN,2023-04-03,france,45,1,0,1
C0ZEN,2023-04-05,france,649,1,0,1
C0chett0,2023-04-06,france,668,1,0,1
CFX-SDIS33,2023-03-21,france,761,1,0,0
CFX-SDIS33,2023-03-22,france,539,1,0,0
CGCooke,2023-03-27,france,104,2,0,0
Cabanera,2023-04-05,italy,1356,1,1,1
Caceresenzo,2023-03-22,france,0,1,0,0
Cahu,2023-03-26,france,0,1,0,0
CaiYitao,2023-03-23,austria,151,1,0,0
CalValmar,2023-03-20,france,24,1,0,0
CalValmar,2023-03-29,france,28,1,0,0
Calinou,2023-03-22,france,420,1,0,0
Calinou,2023-03-27,france,481,1,0,0
Calinou,2023-04-08,france,234,1,0,1
Camillewz24340,2023-03-18,france,309,2,0,0
CamperSamu,2023-03-19,italy,166,1,1,0
Candas1,2023-04-05,france,79,1,0,1
Canop,2023-03-18,france,1416,1,0,0
CapoMatteoJr,2023-03-27,italy,0,1,1,0
CappyT,2023-04-03,italy,221,1,1,1
CaptainGarih,2023-03-24,france,0,3,0,0
CarbonUwU,2023-03-21,france,443,1,0,0
Carbone13,2023-03-27,france,253,1,0,0
CarloLucibello,2023-03-19,italy,270,3,1,0
CarloLucibello,2023-03-20,italy,166,1,1,0
CarloLucibello,2023-03-25,italy,147,5,1,0
CarloLucibello,2023-03-26,italy,198,2,1,0
CarloLucibello,2023-03-29,italy,180,1,1,0
CarloLucibello,2023-03-30,italy,434,4,1,0
CarloLucibello,2023-04-06,italy,109,1,1,1
CarloLucibello,2023-04-07,italy,1427,1,1,1
CarloLucibello,2023-04-08,italy,472,2,1,1
CaroFG,2023-03-21,france,38,1,0,0
Carreau,2023-03-23,france,559,1,0,0
Carreau,2023-03-25,france,240,1,0,0
Carreau,2023-04-05,france,3390,12,0,1
Carreau,2023-04-06,france,527,1,0,1
CaselIT,2023-04-02,italy,938,1,1,1
CaselIT,2023-04-04,italy,314,1,1,1
CastixGitHub,2023-04-06,italy,1359,8,1,1
CatalinaYepes,2023-03-22,italy,466,1,1,0
Catif,2023-04-04,france,209,1,0,1
CedricGuillemet,2023-04-06,france,621,4,0,1
Certurix,2023-04-04,france,240,1,0,1
ChabaneAmaury,2023-03-25,france,234,2,0,0
ChabaneAmaury,2023-03-26,france,320,2,0,0
