username,event_date,release_id,country,organization_id,Y,D_tau_m3,D_tau_m2,D_tau_m1,D_tau_0,D_tau_1,D_tau_2,D_tau_3,D_tau_4
snototter,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
snototter,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
snototter,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
snototter,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
snototter,2023-04-03,,austria,,0,0,0,0,0,0,0,0,0
snototter,2023-04-04,,austria,,0,0,0,0,0,0,0,0,0
snototter,2023-04-05,98201771,austria,,1,0,0,0,0,0,0,0,0
snototter,2023-04-06,,austria,,0,0,0,0,0,0,0,0,0
zozlak,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
zozlak,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
zozlak,2023-03-30,97474341,austria,14135705,1,0,0,0,0,0,0,0,0
zozlak,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
zozlak,2023-04-03,,austria,,0,0,0,0,0,0,0,0,0
zozlak,2023-04-04,98040392,austria,14135705,1,0,0,0,0,0,0,0,0
zozlak,2023-04-05,98196748,austria,14135705,1,0,0,0,0,0,0,0,0
zozlak,2023-04-06,,austria,,0,0,0,0,0,0,0,0,0
clason,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
