repo,country_commits,total_commits,country_ratio,repo_url
sebadima/www.robotdazero.it-doks,393,393,1.0,https://github.com/sebadima/www.robotdazero.it-doks
dynamicflying/preview,393,393,1.0,https://github.com/dynamicflying/preview
fp-ts/core,302,393,0.7684478371501272,https://github.com/fp-ts/core
CristianCosci/my_LeetCode,392,392,1.0,https://github.com/CristianCosci/my_LeetCode
universalbit-dev/universalbit-dev,390,390,1.0,https://github.com/universalbit-dev/universalbit-dev
Umb40k/JenkinsDEVSF,390,390,1.0,https://github.com/Umb40k/JenkinsDEVSF
Portable-Linux-Apps/Portable-Linux-Apps.github.io,387,387,1.0,https://github.com/Portable-Linux-Apps/Portable-Linux-Apps.github.io
fundor333/fundor333.github.io,382,387,0.9870801033591732,https://github.com/fundor333/fundor333.github.io
pnp/m365-partner-showcase,387,387,1.0,https://github.com/pnp/m365-partner-showcase
AlessioZanga/causal-hub,386,386,1.0,https://github.com/AlessioZanga/causal-hub
juristr/nx,378,384,0.984375,https://github.com/juristr/nx
SimoxG7/simoxbadpc,384,384,1.0,https://github.com/SimoxG7/simoxbadpc
gui-dos/DiaBLE,383,383,1.0,https://github.com/gui-dos/DiaBLE
tbenr/teku,372,383,0.9712793733681462,https://github.com/tbenr/teku
mdesalvo/RDFSharp.Semantics,382,382,1.0,https://github.com/mdesalvo/RDFSharp.Semantics
forart/HyMPS,381,381,1.0,https://github.com/forart/HyMPS
Yami-no-karuro/Vector,380,380,1.0,https://github.com/Yami-no-karuro/Vector
ARPA-SIMC/PRAGA,285,379,0.7519788918205804,https://github.com/ARPA-SIMC/PRAGA
coccoinomane/web3cli,379,379,1.0,https://github.com/coccoinomane/web3cli
lucianoambrosini/Ambrosinus-Toolkit,378,378,1.0,https://github.com/lucianoambrosini/Ambrosinus-Toolkit
maxdevblock/covid-19-website,375,375,1.0,https://github.com/maxdevblock/covid-19-website
12rambau/pydata-sphinx-theme,344,374,0.9197860962566844,https://github.com/12rambau/pydata-sphinx-theme
dulvui/dulvui.github.io,374,374,1.0,https://github.com/dulvui/dulvui.github.io
gmazzini/display,373,373,1.0,https://github.com/gmazzini/display
GammaTauAI/opentau,297,373,0.7962466487935657,https://github.com/GammaTauAI/opentau
Roma-JS/roma-js.github.io,371,372,0.9973118279569892,https://github.com/Roma-JS/roma-js.github.io
marcoramilli/PhishingKitTracker,372,372,1.0,https://github.com/marcoramilli/PhishingKitTracker
miroslavpejic85/mirotalk,372,372,1.0,https://github.com/miroslavpejic85/mirotalk
giorio94/cilium,371,371,1.0,https://github.com/giorio94/cilium
laraxot/theme_adminlte,325,371,0.876010781671159,https://github.com/laraxot/theme_adminlte
robang74/git-functions,369,369,1.0,https://github.com/robang74/git-functions
CescoP81/GalileiOstiglia,368,368,1.0,https://github.com/CescoP81/GalileiOstiglia
ncounter/open-build-service,345,368,0.9375,https://github.com/ncounter/open-build-service
gremo/test-repository,366,366,1.0,https://github.com/gremo/test-repository
RIP-Comm/clementine,330,365,0.9041095890410958,https://github.com/RIP-Comm/clementine
CastagnaIT/inputstream.adaptive,365,365,1.0,https://github.com/CastagnaIT/inputstream.adaptive
aleppax/outdoorPMstation,327,365,0.8958904109589041,https://github.com/aleppax/outdoorPMstation
anpicci/Stat,365,365,1.0,https://github.com/anpicci/Stat
m1ch3al/flipper-zero-rogue-master-firmware,365,365,1.0,https://github.com/m1ch3al/flipper-zero-rogue-master-firmware
Neosperience/backpack,365,365,1.0,https://github.com/Neosperience/backpack
SimoneMoreWare/ASD,364,364,1.0,https://github.com/SimoneMoreWare/ASD
magobaol/alfred-phil,345,362,0.9530386740331492,https://github.com/magobaol/alfred-phil
mfrancisc/toolchain-e2e,339,362,0.93646408839779,https://github.com/mfrancisc/toolchain-e2e
sdangelo/brickworks,362,362,1.0,https://github.com/sdangelo/brickworks
webinadvance/valsecchi_castello,362,362,1.0,https://github.com/webinadvance/valsecchi_castello
mrtj/cookiecutter-panorama,362,362,1.0,https://github.com/mrtj/cookiecutter-panorama
mateonunez/artchitect,284,361,0.7867036011080333,https://github.com/mateonunez/artchitect
mr-manuel/venus-os_dbus-serialbattery,361,361,1.0,https://github.com/mr-manuel/venus-os_dbus-serialbattery
carminecoppola/Algoritmi-e-Strutture-Dati,360,360,1.0,https://github.com/carminecoppola/Algoritmi-e-Strutture-Dati
emarock/my-squash-data,360,360,1.0,https://github.com/emarock/my-squash-data
aler9/rtsp-simple-server,347,360,0.9638888888888888,https://github.com/aler9/rtsp-simple-server
obdasystems/grapholscape,294,359,0.8189415041782729,https://github.com/obdasystems/grapholscape
UniprJRC/FSDA,301,359,0.8384401114206128,https://github.com/UniprJRC/FSDA
VAuthenticator/vauthenticator,356,359,0.9916434540389972,https://github.com/VAuthenticator/vauthenticator
